id,name,email,gender,grade
1,Dwight Kewish,dkewish0@naver.com,Male,3.4
2,Brandice Cast,bcast1@discovery.com,Female,7.5
3,Leese Werrilow,lwerrilow2@tuttocitta.it,Female,9.7
4,Cathryn Shivell,cshivell3@usnews.com,Female,3.1
5,Kellyann Irnys,kirnys4@alexa.com,Female,4.2
6,Clemens Fairley,cfairley5@foxnews.com,Male,8.8
7,Terri-jo Mollison,tmollison6@yahoo.com,Female,2.4
8,Heida Riddiough,hriddiough7@wsj.com,Female,5.9
9,Linus Morgans,lmorgans8@go.com,Male,5.4
10,Lorna Sirette,lsirette9@whitehouse.gov,Female,5.3
11,Benedetto Stanaway,bstanawaya@rambler.ru,Male,1.4
12,Duncan Mantz,dmantzb@oracle.com,Male,5.1
13,Kris Larmour,klarmourc@jimdo.com,Female,5.9
14,Corena Cutajar,ccutajard@thetimes.co.uk,Female,3.7
15,Birk Donn,bdonne@narod.ru,Polygender,4.4
16,Erika Vasler,evaslerf@soundcloud.com,Female,2.8
17,Rafael Carayol,rcarayolg@guardian.co.uk,Genderqueer,3.7
18,Ida Kirtland,ikirtlandh@cornell.edu,Female,9.3
19,Michal Casserly,mcasserlyi@cnn.com,Male,6.8
20,Saundra De Zamudio,sdej@newyorker.com,Female,8.2
21,Royce Apfelmann,rapfelmannk@yandex.ru,Male,7.2
22,Barbe Shaves,bshavesl@un.org,Female,3.0
23,Jeralee Bolesma,jbolesmam@mysql.com,Female,8.6
24,Gordan Pitone,gpitonen@blog.com,Male,3.6
25,Gizela Gillison,ggillisono@barnesandnoble.com,Female,7.9
26,Madison Haversham,mhavershamp@businessweek.com,Male,1.7
27,Arlette Celiz,acelizq@illinois.edu,Female,4.3
28,Rosita Burgis,rburgisr@wix.com,Female,6.2
29,Roddy Norheny,rnorhenys@nbcnews.com,Male,1.4
30,Lamont Patroni,lpatronit@psu.edu,Male,1.8
31,Byrann Gillyatt,bgillyattu@chron.com,Male,9.6
32,Joela Mattke,jmattkev@gov.uk,Female,7.5
33,Joyce Poynzer,jpoynzerw@51.la,Female,8.8
34,Pru Barwick,pbarwickx@blogger.com,Female,1.2
35,Wendeline Dann,wdanny@google.de,Female,5.7
